,search_term,job_url,job_title,job_categories,job_location,job_employment_type,job_seniority,job_last_posted_date,job_expiry_date,job_description,job_company_name,job_company_info,min_salary,max_salary,Latitude,Longitude
0,data scientist,/job/data-scientist-jabil-circuit-51ea2ce5b0eedff231dc658097a05543,Data Scientist,"Information Technology, Manufacturing",16 TAMPINES INDUSTRIAL CRESCENT 528604,"Permanent, Full Time",Executive,Posted 25 Jan 2019,Closing on 24 Feb 2019,"JOB SUMMARY The Data Scientist I is a statistical analyst well versed in various analytical disciplines, such as linear and constraint programming, modeling, simulation, time series analysis, text analytics, multivariate analysis, and other various predictive analytics techniques. This role will have experience querying and analyzing large data sets using traditional structured data base tools and “big data” tools for unstructured data to generate actionable insights and solutions.   ESSENTIAL DUTIES AND RESPONSIBILITIES ●         Work as part of a data science, business intelligence, and/or business analytics team to produce predictive and/or statistical models and algorithms or statistical engines for input to key business applications. (e.g. InControl 2.0, R, Azure ML, Minitab, Python, SaS, IBM SPSS) ●         Take direction from senior data scientists and/or IT Technical Leads on model creation where required. ●         Participate in team stand ups, meetings and brainstorming activities. ●         Demonstrates a commitment to customer service; anticipates, meets, and exceeds expectations by solving problems quickly and effectively; making customer issues a priority. ●         Build dashboards as well as bespoke, custom analysis. ●         Work on teams with business/functional stakeholders to help make data driven decisions ●         Understand and embrace the business and IT strategic direction. ●         May perform other duties and responsibilities as assigned.",JABIL CIRCUIT (SINGAPORE) PTE. LTD.,"Jabil is one of the world’s largest electronic manufacturing services companies, providing customized design, manufacturing, distribution and aftermarket services for some of today’s largest companies and brands. Our global operations encompass over 100 plants in the world and employ over 180,000 people. To ensure our continued financial success and growth, we operate in a variety of markets, including aftermarket services, computing & storage, defense & aerospace, healthcare & instrumentation, industrial & clean tech, materials technology, mobility, networking and telecommunications. We offer equal employment opportunities to qualified individuals without regard to their race, religion, color, age, national origin, gender, disability and sexual orientation. If you have a quality-first mentality in everything you do and are passionate about achieving results, then Jabil is the place for you. ",3000.0,6000.0,1.3752303,103.9290238
1,data scientist,/job/data-scientist-hewlett-packard-enterprise-singapore-4cd401024939234386449a21c78de05b,Data Scientist,Consulting ,1 DEPOT CLOSE 109841,Permanent,Professional,Posted 25 Jan 2019,Closing on 24 Feb 2019,"Hewlett Packard Enterprise is an industry leading technology company that enables customers to go further, faster. With the industry’s most comprehensive portfolio, spanning the cloud to the data center to workplace applications, our technology and services help customers around the world make IT more efficient, more productive and more secure.   HPE APJ Innovation Center Singapore focuses on providing customers with world class products and solutions in the big data analytics space, using state-of-the-art big data technologies and advanced analytics techniques.   We have an exciting opportunity for a Data Scientist to join our team and make a difference!  He/she will be a part of our innovation center and involved in interesting work such as NLP, IoT analysis and generally exposed to different domains. ",HEWLETT PACKARD ENTERPRISE SINGAPORE PTE. LTD.,"
	HEWLETT PACKARD ENTERPRISE SINGAPORE PTE. LTD.
",5100.0,10000.0,51.6165745,7.3231724
2,data scientist,/job/data-scientist-smartsoft-c605a552bf2a0ae3caad295b5a238394,Data Scientist,Information Technology,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Senior Executive,Posted 25 Jan 2019,Closing on 24 Feb 2019,"We are looking for highly motivated Individual who will work with various members of Data Intelligence & Science (DISc) team to address challenging data science problems by leveraging techniques in statistics, machine learning or/and data mining.  ",SMARTSOFT PTE. LTD.," SMARTSOFT PTE. LTD. Smartsoft is a leading provider of quality IT infrastructure, ERP and Business Intelligence Solutions by leveraging technology in cost effective manner to solve business problems. We associate with leading manufactures such as IBM, Microsoft, DELL, HP, VMWARE, Citrix, Symantec, Adobe, Oracle, Intel to name a few.  Smartsoft is backed by a team of specialists who are trained and certified on Software Licensing, Servers, Storage and  solutions such as SAP Business One , Cloud Hosting and Web Access, collaboration tools, Intranet Portal, Unified Communication and Customer Relations Management. Our guiding principle is ""Do the best possible”. This means do the best possible for our staff members, customers and business partners. Our customers include 100% EOU, Software companies and Research organizations. Smartsoft Pte Ltd facilitate export of duty exempted products and address specific import /export requirements of customers. Many companies find us as a resource centre for quality IT Professionals for contract employment and projects. Smartsoft Pte Ltd Singapore address this requirement in the Asia Pacific region. We also provide Application hosting, Project Management, Document management and collaboration, ERP Consulting, Microsoft CRM and Business intelligence Solutions. A One-Stop Resource When it comes to your IT infrastructure needs, we give you choices based on Smartsoft's relationships with world-class Vendors -including IBM, SAP Business One, Microsoft, DELL, HP, VMWARE, Citrix, Symantec, Adobe, Oracle, Intel etc. We deliver a ""one-stop"" approach to serving our customers. Our IT specialist will work with you to understand your needs and your requirements. Smartsoft study current technologies, business goals and make recommendations that save your time and money. ",6000.0,11000.0,1.275755,103.845899858558
3,data scientist,/job/data-scientist-schellden-global-services-2cce3a0fd90690d4b4505d77e0eff1e7,Data Scientist,Information Technology,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Senior Executive,Posted 25 Jan 2019,Closing on 24 Feb 2019,"We are looking for highly motivated Individual who will work with various members of Data Intelligence & Science (DISc) team to address challenging data science problems by leveraging techniques in statistics, machine learning or/and data mining.  ",SCHELLDEN GLOBAL SERVICES,"Schellden is a fast growing company specialised in Consulting,Technology and Process Outsourcing Solutions. We partner with clients across industries, geographic locations to solve business challenges by refining technology landscape in line with business strategies using cutting edge technologies & processes . Schellden helps enterprises to transform,thrive and advance through Analytics, Technical consulting & Process outsourcing.
",6000.0,11000.0,1.275755,103.845899858558
4,data scientist,/job/data-scientist-schellden-global-7b446f16f1967685b15c4d50565d63bd,Data Scientist,Information Technology,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Senior Executive,Posted 25 Jan 2019,Closing on 24 Feb 2019,"We are looking for highly motivated Individual who will work with various members of Data Intelligence & Science (DISc) team to address challenging data science problems by leveraging techniques in statistics, machine learning or/and data mining.  ",SCHELLDEN GLOBAL PTE. LTD.,"Schellden Global Pte Ltd is Provider of IT Solutions and Services Offering wide range of support to meet our customers growing requirement.We focus on providing services around Applications,Infrastructure,ERP
We work with customers from industries including Banking,Manufacturing,Retail etc.
 
",6000.0,11000.0,1.275755,103.845899858558
5,data scientist,/job/data-scientist-siemens-f76d3f9f081a63cff0d2e4319ad98d58,Data Scientist (62913),Information Technology,"THE SIEMENS CENTRE, 60 MACPHERSON ROAD 348615",Permanent,Executive,Posted 25 Jan 2019,Closing on 24 Feb 2019,"What are my responsibilities?  Dive deep into an ocean of data and solve challenges associated with transforming and enriching large complex datasets to deliver non-trivial insights by applying advanced data analytics methods & algorithms Develop scalable ML and DL pipelines based on business initiatives on digitalization – from edge to cloud! Understand research publications for state-of-the art but move beyond theoretical models and build innovative, practical and robust real world solutions for problems such as predictive maintenance of industrial assets and trains, intelligent logistics & traffic management, deep learning based sensor fusion for autonomous vehicles, autonomous building control with energy efficiency, smart grids and energy optimization Represent the organization in reputed events & universities and be a brand ambassador for the regional digital hub of Siemens ",SIEMENS PTE. LTD.,"Siemens is a global technology powerhouse that has stood for engineering excellence, innovation, quality, reliability and internationality for more than 165 years. The company is active in more than 200 countries, focusing on the areas of electrification, automation and digitalization; and employs around 360,000 employees.
 
Established in Singapore since 1908, Siemens is one of the largest European companies here with five companies and employs around 2,000 people. We have contributed to many of the country’s key infrastructure projects, and have been setting the pace of growth and development for this island-nation with cutting-edge solutions and technologies. Please visit our website for more information – www.siemens.com.sg.
 
",4000.0,8000.0,1.3275858,103.870629818407
6,data scientist,/job/data-scientist-graebel-apac-center-295662cfb61e5e92694f9dbd081bc1c0,Data Scientist,Others,"SUNTEC TOWER THREE, 8 TEMASEK BOULEVARD 038988","Permanent, Full Time",Senior Executive,Posted 24 Jan 2019,Closing on 23 Feb 2019,"Worldwide Mobility and Relocation Solutions in 165 Countries Join the Graebel team to build or expand your new career! We provide talent mobility and relocation solutions to Global 1000 firms and their employees. We pride ourselves on delivering exceptional customer service, and believe that happy and fulfilled employees make it happen. They innovate, take ownership of their work, and as a result, take great care of our internal and external clients. We value truth, love and integrity where you help foster an environment of respect, honor, and caring for those that interact with us. If you are ready to make a career move, please get in touch with us. We are looking for exceptional people who want to make a difference in the world.     The Data Scientist is the subject matter expert for statistical techniques, tools and methodology. He/she uses structured methodologies to understand the project, perform data-gathering, conduct complex statistical/mathematical data analysis, and build tools and solutions for stakeholders and customers. Responsibilities include the following:  Provide subject matter expertise on statistics and mathematical modeling Interact with stakeholders and clients to conduct project tasks Perform project chartering, design, and information-gathering activities Involved in decisions on project approach and methodology Conduct data analysis using various statistical and mathematical techniques Solutions design and development using basic IT tools Serve as statistics and mathematical expert Information-gathering with stakeholders and customers Project chartering and design Conduct data analytics and generate findings/insights Design and develop solutions Create any needed documentation as part of change management and deployment Present findings and solutions to stakeholders and customers ",GRAEBEL APAC CENTER PTE. LTD.,"GRAEBEL APAC CENTER PTE. LTD.
Worldwide Mobility and Relocation Solutions in 165 Countries
Join the Graebel team to build or expand your new career! We provide talent mobility and relocation solutions to Global 1000 firms and their employees. We pride ourselves on delivering exceptional customer service, and believe that happy and fulfilled employees make it happen. They innovate, take ownership of their work, and as a result, take great care of our internal and external clients. We value truth, love and integrity where you help foster an environment of respect, honor, and caring for those that interact with us. If you are ready to make a career move, please get in touch with us. We are looking for exceptional people who want to make a difference in the world.  
",5000.0,6500.0,1.29522995,103.859599091005
7,data scientist,/job/data-scientist-mannhummel-ventures-9ffef96084b9ec6e133c6bee88026928,DATA SCIENTIST,Sciences / Laboratory / R&D,"SYMBIOSIS, 3 FUSIONOPOLIS WAY 138633",Full Time,Manager,Posted 24 Jan 2019,Closing on 23 Feb 2019," Advocate, evangelize and build data-fuelled products and services that help our customers improve filtration. Advocate, evangelize and build data-fuelled services that help our internal customers improve their operations. Dig in and become an expert on our filtration technology datasets. Provide insight into leading analytic practices, design and lead iterative learning and development cycles, and ultimately produce new and creative analytic solutions that will become part of our core deliverables. Work with cross-functional team members to identify and prioritize actionable, high-impact insights across a variety of core business areas. You will lead applied analytics initiatives that are leveraged across the breadth of our solutions for Automotive, Industrial, Air, and Water filtration. Research, design, implement and validate cutting-edge algorithms to analyze diverse sources of data to achieve targeted outcomes. Provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics and data science across the entire breadth of our organization Implement PoC and PoV to test and validate the proposed analytics or algorithm Benchmark and recommend best solutions to implement our big-data and machine learning algorithm on our cloud infrastructure ",MANN+HUMMEL VENTURES PTE. LTD.,"MANN+HUMMEL is a leading global expert for filtration solutions. The company group, headquartered in Ludwigsburg, Germany, develops solutions for motor cars, industrial applications, clean air in interior spaces and the sustainable use of water. In 2017 the group achieved sales of about 3.9 billion euros worldwide with more than 20,000 employees at more than 80 locations. The products manufactured by the group include air cleaner systems, intake manifold systems, liquid filter systems, plastic components, filter media, cabin filters, industrial filters and membrane filters.
",7000.0,8350.0,1.2985319,103.7883403
8,data scientist,/job/data-scientist-sensorflow-1e90b327703a5b42c6961ef23e2994f1,Data Scientist,Information Technology,"OXLEY BIZHUB, 61 UBI ROAD 1 408727",Permanent,Professional,Posted 23 Jan 2019,Closing on 22 Feb 2019,"Job Roles and Responsibilities This position is within the Data Science team where we constantly push for driving impact through data products or automating business decisions using advanced modeling techniques. We are looking for a Data Scientist with Machine Learning expertise to work on some exciting projects. Responsibilities  Selecting features, building and optimizing machine learning models Data mining using state-of-the-art methods Processing, cleansing, and verifying the integrity of data used for analysis Follow CI/CD and productionize machine learning models Extending company’s data with third party sources of information when needed Enhancing data collection procedures to include information that is relevant for building analytical systems Communicate, collaborate and work effectively across distributed teams Deliver business value and work with the senior team to aggressively push towards our vision of making smart buildings a reality ",SENSORFLOW PTE. LTD.,"SENSORFLOW PTE. LTD.
",5000.0,8000.0,1.332271,103.8901303
9,data scientist,/job/data-scientist-cisco-systems-ab78825f2f9666e3ea8ac0c296a1476d,Data Scientist,Banking and Finance,"ONE MARINA BOULEVARD, 1 MARINA BOULEVARD 018989",Full Time,"Fresh/entry level, Junior Executive",Posted 23 Jan 2019,Closing on 22 Feb 2019,"  What You'll Do As a Data Scientist, you will:   • Be the Problem-solver and be the catalyst that will help business teams make better decisions using Data and Analytics • Bring to the table an inter-disciplinary skillset of Applied Math, Technology and Business • Develop Data Products/Services across Descriptive, Inquisitive and Prediictive Analytics to improve business processes and drive tangible business outcomes • Design, build, and operationalize models using the latest in AI/ML techniques to build relevant solutions • Lead complex analytics programs, working with cross-functional teams • Coach and mentor other Data Scientists  • Above all, come with a curious mind and a passionate learning mindset Who You'll Work With Join us at Data and Analytics : we are building a world-class team of passionate, result oriented problem solvers with the aim of enabling better data-driven decisions and thereby creating business impact.  We operate as a startup: work hard, learn every day, focus on doing measurable and impactful work; and have lots of fun along the way",CISCO SYSTEMS (USA) PTE. LTD.,"
	CISCO SYSTEMS (USA) PTE. LTD.
",57000.0,80000.0,1.2822549,103.852696683845
