,search_term,job_url,job_title,job_categories,job_location,job_employment_type,job_seniority,job_last_posted_date,job_expiry_date,job_description,job_company_name,job_company_info,job_requirement,min_salary,max_salary
0,data scientist,/job/data-scientist-jabil-circuit-51ea2ce5b0eedff231dc658097a05543,Data Scientist,"Information Technology, Manufacturing",16 TAMPINES INDUSTRIAL CRESCENT 528604,"Permanent, Full Time",Executive,Posted 25 Jan 2019,Closing on 24 Feb 2019,"JOB SUMMARY The Data Scientist I is a statistical analyst well versed in various analytical disciplines, such as linear and constraint programming, modeling, simulation, time series analysis, text analytics, multivariate analysis, and other various predictive analytics techniques. This role will have experience querying and analyzing large data sets using traditional structured data base tools and “big data” tools for unstructured data to generate actionable insights and solutions.   ESSENTIAL DUTIES AND RESPONSIBILITIES ●         Work as part of a data science, business intelligence, and/or business analytics team to produce predictive and/or statistical models and algorithms or statistical engines for input to key business applications. (e.g. InControl 2.0, R, Azure ML, Minitab, Python, SaS, IBM SPSS) ●         Take direction from senior data scientists and/or IT Technical Leads on model creation where required. ●         Participate in team stand ups, meetings and brainstorming activities. ●         Demonstrates a commitment to customer service; anticipates, meets, and exceeds expectations by solving problems quickly and effectively; making customer issues a priority. ●         Build dashboards as well as bespoke, custom analysis. ●         Work on teams with business/functional stakeholders to help make data driven decisions ●         Understand and embrace the business and IT strategic direction. ●         May perform other duties and responsibilities as assigned.",JABIL CIRCUIT (SINGAPORE) PTE. LTD.,"Jabil is one of the world’s largest electronic manufacturing services companies, providing customized design, manufacturing, distribution and aftermarket services for some of today’s largest companies and brands. Our global operations encompass over 100 plants in the world and employ over 180,000 people. To ensure our continued financial success and growth, we operate in a variety of markets, including aftermarket services, computing & storage, defense & aerospace, healthcare & instrumentation, industrial & clean tech, materials technology, mobility, networking and telecommunications. We offer equal employment opportunities to qualified individuals without regard to their race, religion, color, age, national origin, gender, disability and sexual orientation. If you have a quality-first mentality in everything you do and are passionate about achieving results, then Jabil is the place for you. ","●         Advanced Statistics, operations research/ management, mathematics or business analytics with experience, courses, or project work in an analytic methods such as linear, mixed linear, constraint programming, modeling, simulation, time series analysis, pattern recognition, queuing theory, multivariate analysis, and other various predictive analytics techniques ●         Strong written and verbal communication skills and the ability to work effectively in teams and under pressure. ●         Bilingual in Chinese and English (high fluency) as the successful person will liaise with our counterpart in China ●         Ability to draw conclusions from data and prescribe actionable and measurable activities. ●         Highly motivated and creative, thinking “out of the box”. ●         Familiarity with non-relational data frameworks. ●         Experience with big data applications and machine learning applications. ●         Strong team mentality, interpersonal and communications skills ●         Enthusiasm and ability to seek out and learn new technologies and algorithms outside of your immediate toolset/knowledge to solve business problems where required.",3000.0,6000.0
1,data scientist,/job/data-scientist-hewlett-packard-enterprise-singapore-4cd401024939234386449a21c78de05b,Data Scientist,Consulting ,1 DEPOT CLOSE 109841,Permanent,Professional,Posted 25 Jan 2019,Closing on 24 Feb 2019,"Hewlett Packard Enterprise is an industry leading technology company that enables customers to go further, faster. With the industry’s most comprehensive portfolio, spanning the cloud to the data center to workplace applications, our technology and services help customers around the world make IT more efficient, more productive and more secure.   HPE APJ Innovation Center Singapore focuses on providing customers with world class products and solutions in the big data analytics space, using state-of-the-art big data technologies and advanced analytics techniques.   We have an exciting opportunity for a Data Scientist to join our team and make a difference!  He/she will be a part of our innovation center and involved in interesting work such as NLP, IoT analysis and generally exposed to different domains. ",HEWLETT PACKARD ENTERPRISE SINGAPORE PTE. LTD.,"
	HEWLETT PACKARD ENTERPRISE SINGAPORE PTE. LTD.
","Responsibilities  Collaborate with business partners from various industries to identify gap and practical problems. Develop machine learning and quantitative models to solve business problems. Create actionable insights and meaningful visualizations using machine learning technologies that “tell a story"" to the customers. Communicate findings to sales, engineering and business teams.    Knowledge and Skills Desired:  Deep understanding of multiple machine learning and artificial intelligence Knowledge and understanding of data pipeline Deep knowledge of at least one of the frameworks Deep mathematical understanding of statistics, calculus and other related fields         Education and Experience Required:  PhD degree in Mathematics, Statistics, Operations Research, Computer Science or equivalent In the absence of a PhD, a Master´s Degree in one of these areas and 3 years and above of industry experience applying analytics and data science is required 3 years’ experience in programming in Python or R 3 years’ and above of industry experience applying analytics and data science 3 years’ programming experience in two or more relevant languages Broad, general knowledge of Machine Learning and Artificial Intelligence Framework ecosystems and languages, such as:  - Caffe - TensorFlow",5100.0,10000.0
2,data scientist,/job/data-scientist-smartsoft-c605a552bf2a0ae3caad295b5a238394,Data Scientist,Information Technology,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Senior Executive,Posted 25 Jan 2019,Closing on 24 Feb 2019,"We are looking for highly motivated Individual who will work with various members of Data Intelligence & Science (DISc) team to address challenging data science problems by leveraging techniques in statistics, machine learning or/and data mining.  ",SMARTSOFT PTE. LTD.," SMARTSOFT PTE. LTD. Smartsoft is a leading provider of quality IT infrastructure, ERP and Business Intelligence Solutions by leveraging technology in cost effective manner to solve business problems. We associate with leading manufactures such as IBM, Microsoft, DELL, HP, VMWARE, Citrix, Symantec, Adobe, Oracle, Intel to name a few.  Smartsoft is backed by a team of specialists who are trained and certified on Software Licensing, Servers, Storage and  solutions such as SAP Business One , Cloud Hosting and Web Access, collaboration tools, Intranet Portal, Unified Communication and Customer Relations Management. Our guiding principle is ""Do the best possible”. This means do the best possible for our staff members, customers and business partners. Our customers include 100% EOU, Software companies and Research organizations. Smartsoft Pte Ltd facilitate export of duty exempted products and address specific import /export requirements of customers. Many companies find us as a resource centre for quality IT Professionals for contract employment and projects. Smartsoft Pte Ltd Singapore address this requirement in the Asia Pacific region. We also provide Application hosting, Project Management, Document management and collaboration, ERP Consulting, Microsoft CRM and Business intelligence Solutions. A One-Stop Resource When it comes to your IT infrastructure needs, we give you choices based on Smartsoft's relationships with world-class Vendors -including IBM, SAP Business One, Microsoft, DELL, HP, VMWARE, Citrix, Symantec, Adobe, Oracle, Intel etc. We deliver a ""one-stop"" approach to serving our customers. Our IT specialist will work with you to understand your needs and your requirements. Smartsoft study current technologies, business goals and make recommendations that save your time and money. ","•       Masters/Bachelor degree in Statistics/Applied Math/Operational Research/Computer Science or related field •       5+ experience of working experience in software or related industry •       2+ experience as data scientist working on various data science projects. •       Experienced in developing machine learning models for real-world problems using R, python or other languages •   Experience in Deep Learning and AI related project a huge plus •       Familiar with big data technologies like Hadoop, Hive, Pig and Spark •       Able to conceptualize prototypes and evolve them to full fledge solutions •       Able to articulate the findings and work in a team environment  ",6000.0,11000.0
3,data scientist,/job/data-scientist-schellden-global-services-2cce3a0fd90690d4b4505d77e0eff1e7,Data Scientist,Information Technology,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Senior Executive,Posted 25 Jan 2019,Closing on 24 Feb 2019,"We are looking for highly motivated Individual who will work with various members of Data Intelligence & Science (DISc) team to address challenging data science problems by leveraging techniques in statistics, machine learning or/and data mining.  ",SCHELLDEN GLOBAL SERVICES,"Schellden is a fast growing company specialised in Consulting,Technology and Process Outsourcing Solutions. We partner with clients across industries, geographic locations to solve business challenges by refining technology landscape in line with business strategies using cutting edge technologies & processes . Schellden helps enterprises to transform,thrive and advance through Analytics, Technical consulting & Process outsourcing.
","•       Masters/Bachelor degree in Statistics/Applied Math/Operational Research/Computer Science or related field •       5+ experience of working experience in software or related industry •       2+ experience as data scientist working on various data science projects. •       Experienced in developing machine learning models for real-world problems using R, python or other languages •   Experience in Deep Learning and AI related project a huge plus •       Familiar with big data technologies like Hadoop, Hive, Pig and Spark •       Able to conceptualize prototypes and evolve them to full fledge solutions •       Able to articulate the findings and work in a team environment  ",6000.0,11000.0
4,data scientist,/job/data-scientist-schellden-global-7b446f16f1967685b15c4d50565d63bd,Data Scientist,Information Technology,"INTERNATIONAL PLAZA, 10 ANSON ROAD 079903",Full Time,Senior Executive,Posted 25 Jan 2019,Closing on 24 Feb 2019,"We are looking for highly motivated Individual who will work with various members of Data Intelligence & Science (DISc) team to address challenging data science problems by leveraging techniques in statistics, machine learning or/and data mining.  ",SCHELLDEN GLOBAL PTE. LTD.,"Schellden Global Pte Ltd is Provider of IT Solutions and Services Offering wide range of support to meet our customers growing requirement.We focus on providing services around Applications,Infrastructure,ERP
We work with customers from industries including Banking,Manufacturing,Retail etc.
 
","•       Masters/Bachelor degree in Statistics/Applied Math/Operational Research/Computer Science or related field •       5+ experience of working experience in software or related industry •       2+ experience as data scientist working on various data science projects. •       Experienced in developing machine learning models for real-world problems using R, python or other languages •   Experience in Deep Learning and AI related project a huge plus •       Familiar with big data technologies like Hadoop, Hive, Pig and Spark •       Able to conceptualize prototypes and evolve them to full fledge solutions •       Able to articulate the findings and work in a team environment  ",6000.0,11000.0
5,data scientist,/job/data-scientist-siemens-f76d3f9f081a63cff0d2e4319ad98d58,Data Scientist (62913),Information Technology,"THE SIEMENS CENTRE, 60 MACPHERSON ROAD 348615",Permanent,Executive,Posted 25 Jan 2019,Closing on 24 Feb 2019,"What are my responsibilities?  Dive deep into an ocean of data and solve challenges associated with transforming and enriching large complex datasets to deliver non-trivial insights by applying advanced data analytics methods & algorithms Develop scalable ML and DL pipelines based on business initiatives on digitalization – from edge to cloud! Understand research publications for state-of-the art but move beyond theoretical models and build innovative, practical and robust real world solutions for problems such as predictive maintenance of industrial assets and trains, intelligent logistics & traffic management, deep learning based sensor fusion for autonomous vehicles, autonomous building control with energy efficiency, smart grids and energy optimization Represent the organization in reputed events & universities and be a brand ambassador for the regional digital hub of Siemens ",SIEMENS PTE. LTD.,"Siemens is a global technology powerhouse that has stood for engineering excellence, innovation, quality, reliability and internationality for more than 165 years. The company is active in more than 200 countries, focusing on the areas of electrification, automation and digitalization; and employs around 360,000 employees.
 
Established in Singapore since 1908, Siemens is one of the largest European companies here with five companies and employs around 2,000 people. We have contributed to many of the country’s key infrastructure projects, and have been setting the pace of growth and development for this island-nation with cutting-edge solutions and technologies. Please visit our website for more information – www.siemens.com.sg.
 
","What does it take me to qualify for this job?  PhD/Masters/Bachelor’s degree in Computer Science or related discipline from a reputed institute with grass-root experience of at least 2 years in solving complex problems and driving actionable insights from Petabytes of data. Closely follow latest developments in artificial intelligence and be an early adopter of disruptive trends/technologies Proven deep technical expertise in designing and programming large scale data driven solutions using any of the high level programming languages viz. Java/Python/C++/Scala Collaborate with team members from prototyping through production, present developed solutions and recommendations to business partners, and influence future product roadmap and strategy based on insights Hands-on experience with one or more of the following is a must:     Building analytical solutions leveraging distributed computing frameworks and cloud based data engineering solutions, especially Hadoop and Spark to build and deploy products at scale Experience in Machine Learning techniques such as Forecasting, Classification, Clustering, Text Mining, Decision Trees, Random Forest and Search algorithms Understanding and hands-on experience in training deep convolutional and/or recurrent networks using frameworks like Tensorflow, Caffe, MXNet, etc. Research, develop and prototype software technologies related to object detection, tracking, 3D reconstruction, SLAM and photometric stereo     Experience in the following will be an added advantage:     Minimum of 1-2 years’ experience working on image processing and computer vision problems with a clear understanding and ability to implement algorithms (especially deep learning algorithms) Hands-on experience using OpenCV and OpenGL Optimization techniques for model training and deployment on GPUs   ",4000.0,8000.0
6,data scientist,/job/data-scientist-graebel-apac-center-295662cfb61e5e92694f9dbd081bc1c0,Data Scientist,Others,"SUNTEC TOWER THREE, 8 TEMASEK BOULEVARD 038988","Permanent, Full Time",Senior Executive,Posted 24 Jan 2019,Closing on 23 Feb 2019,"Worldwide Mobility and Relocation Solutions in 165 Countries Join the Graebel team to build or expand your new career! We provide talent mobility and relocation solutions to Global 1000 firms and their employees. We pride ourselves on delivering exceptional customer service, and believe that happy and fulfilled employees make it happen. They innovate, take ownership of their work, and as a result, take great care of our internal and external clients. We value truth, love and integrity where you help foster an environment of respect, honor, and caring for those that interact with us. If you are ready to make a career move, please get in touch with us. We are looking for exceptional people who want to make a difference in the world.     The Data Scientist is the subject matter expert for statistical techniques, tools and methodology. He/she uses structured methodologies to understand the project, perform data-gathering, conduct complex statistical/mathematical data analysis, and build tools and solutions for stakeholders and customers. Responsibilities include the following:  Provide subject matter expertise on statistics and mathematical modeling Interact with stakeholders and clients to conduct project tasks Perform project chartering, design, and information-gathering activities Involved in decisions on project approach and methodology Conduct data analysis using various statistical and mathematical techniques Solutions design and development using basic IT tools Serve as statistics and mathematical expert Information-gathering with stakeholders and customers Project chartering and design Conduct data analytics and generate findings/insights Design and develop solutions Create any needed documentation as part of change management and deployment Present findings and solutions to stakeholders and customers ",GRAEBEL APAC CENTER PTE. LTD.,"GRAEBEL APAC CENTER PTE. LTD.
Worldwide Mobility and Relocation Solutions in 165 Countries
Join the Graebel team to build or expand your new career! We provide talent mobility and relocation solutions to Global 1000 firms and their employees. We pride ourselves on delivering exceptional customer service, and believe that happy and fulfilled employees make it happen. They innovate, take ownership of their work, and as a result, take great care of our internal and external clients. We value truth, love and integrity where you help foster an environment of respect, honor, and caring for those that interact with us. If you are ready to make a career move, please get in touch with us. We are looking for exceptional people who want to make a difference in the world.  
"," 2-5 years of experience manipulating data sets and building statistical models. Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modelling, clustering, decision trees, neural networks, etc. Strong problem-solving skills with an emphasis on product development. Experience using statistical computer languages (R, Python, etc.) to manipulate data and draw insights from large data sets. Experience working with and creating data architectures. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. Excellent written and verbal communication skills for coordinating across teams.   ",5000.0,6500.0
7,data scientist,/job/data-scientist-mannhummel-ventures-9ffef96084b9ec6e133c6bee88026928,DATA SCIENTIST,Sciences / Laboratory / R&D,"SYMBIOSIS, 3 FUSIONOPOLIS WAY 138633",Full Time,Manager,Posted 24 Jan 2019,Closing on 23 Feb 2019," Advocate, evangelize and build data-fuelled products and services that help our customers improve filtration. Advocate, evangelize and build data-fuelled services that help our internal customers improve their operations. Dig in and become an expert on our filtration technology datasets. Provide insight into leading analytic practices, design and lead iterative learning and development cycles, and ultimately produce new and creative analytic solutions that will become part of our core deliverables. Work with cross-functional team members to identify and prioritize actionable, high-impact insights across a variety of core business areas. You will lead applied analytics initiatives that are leveraged across the breadth of our solutions for Automotive, Industrial, Air, and Water filtration. Research, design, implement and validate cutting-edge algorithms to analyze diverse sources of data to achieve targeted outcomes. Provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced analytics and data science across the entire breadth of our organization Implement PoC and PoV to test and validate the proposed analytics or algorithm Benchmark and recommend best solutions to implement our big-data and machine learning algorithm on our cloud infrastructure ",MANN+HUMMEL VENTURES PTE. LTD.,"MANN+HUMMEL is a leading global expert for filtration solutions. The company group, headquartered in Ludwigsburg, Germany, develops solutions for motor cars, industrial applications, clean air in interior spaces and the sustainable use of water. In 2017 the group achieved sales of about 3.9 billion euros worldwide with more than 20,000 employees at more than 80 locations. The products manufactured by the group include air cleaner systems, intake manifold systems, liquid filter systems, plastic components, filter media, cabin filters, industrial filters and membrane filters.
"," Ph.D. or Master’s Degree in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline. Deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms. more than 5 years of experience delivering world-class data science outcomes Able to solve complex analytical problems using quantitative approaches with your unique blend of analytical, mathematical and technical skills. Passionate about asking and answering questions in large datasets, and you are able to communicate that passion to product managers and engineers. Keen desire to solve business problems, and live to find patterns and insights within structured and unstructured data. You propose analytics strategies and solutions that challenge and expand the thinking of everyone around you. Expert in analysing large, complex, multi-dimensional datasets with a variety of tools. You are accomplished in the use of statistical analysis environments such as R, MATLAB, SPSS or SAS. Experience with BI tools such as Tableau and Micro-strategy. You’re as comfortable with relational databases as you are with Hadoop-based data mining frameworks. You are familiar with SQL, Python, R, Go, Java and C/C++. Comfortable with fast paced, test-driven, collaborative and iterative engineering environment. You love learning, data, scale and agility. You excel at making complex concepts simple and easy to understand by those around you. You’re driven to show the world the power of applied analytics. Knowledge or previous experience with Amazon Web Services or other major public cloud provider is a plus Knowledge or previous experience with Docker technology is a plus English written / spoken Able to multitask and execute with a positive ""can do"" attitude Able to learn fast through self-directed interdisciplinary research ",7000.0,8350.0
8,data scientist,/job/data-scientist-sensorflow-1e90b327703a5b42c6961ef23e2994f1,Data Scientist,Information Technology,"OXLEY BIZHUB, 61 UBI ROAD 1 408727",Permanent,Professional,Posted 23 Jan 2019,Closing on 22 Feb 2019,"Job Roles and Responsibilities This position is within the Data Science team where we constantly push for driving impact through data products or automating business decisions using advanced modeling techniques. We are looking for a Data Scientist with Machine Learning expertise to work on some exciting projects. Responsibilities  Selecting features, building and optimizing machine learning models Data mining using state-of-the-art methods Processing, cleansing, and verifying the integrity of data used for analysis Follow CI/CD and productionize machine learning models Extending company’s data with third party sources of information when needed Enhancing data collection procedures to include information that is relevant for building analytical systems Communicate, collaborate and work effectively across distributed teams Deliver business value and work with the senior team to aggressively push towards our vision of making smart buildings a reality ",SENSORFLOW PTE. LTD.,"SENSORFLOW PTE. LTD.
","Preferred Qualifications  Around 2-4 years of Data Science industry experience A great value for humility and a strong sense of ownership Excellent understanding of machine learning techniques and algorithms like regression, classification, clustering, neural networks, etc. Experience with common data science toolkits, such as R, Scikit-Learn, XGBoost, TensorFlow, etc. Experience working with distributed analytics engine like Apache Spark Good understanding of Statistics Ability to whiteboard a theory as well as roll up your sleeves and get coding Passion for learning new things and solving challenging problems Familiarity with SQL, relational and non-relational databases. Experience with Amazon Redshift is a plus. Proficiency in Python, and preferably in one other language like Java, JavaScript, etc. Ability to work independently and in cross-functional teams as needed to solve problems Kaggle experience / relevant open source contribution a huge plus ",5000.0,8000.0
9,data scientist,/job/data-scientist-cisco-systems-ab78825f2f9666e3ea8ac0c296a1476d,Data Scientist,Banking and Finance,"ONE MARINA BOULEVARD, 1 MARINA BOULEVARD 018989",Full Time,"Fresh/entry level, Junior Executive",Posted 23 Jan 2019,Closing on 22 Feb 2019,"  What You'll Do As a Data Scientist, you will:   • Be the Problem-solver and be the catalyst that will help business teams make better decisions using Data and Analytics • Bring to the table an inter-disciplinary skillset of Applied Math, Technology and Business • Develop Data Products/Services across Descriptive, Inquisitive and Prediictive Analytics to improve business processes and drive tangible business outcomes • Design, build, and operationalize models using the latest in AI/ML techniques to build relevant solutions • Lead complex analytics programs, working with cross-functional teams • Coach and mentor other Data Scientists  • Above all, come with a curious mind and a passionate learning mindset Who You'll Work With Join us at Data and Analytics : we are building a world-class team of passionate, result oriented problem solvers with the aim of enabling better data-driven decisions and thereby creating business impact.  We operate as a startup: work hard, learn every day, focus on doing measurable and impactful work; and have lots of fun along the way",CISCO SYSTEMS (USA) PTE. LTD.,"
	CISCO SYSTEMS (USA) PTE. LTD.
","Who You Are • Thrive in a multi-tasking, rapid prototyping, and agile development environment Our minimum requirements for this role:  • BS in math, statistics, data science, computer science, engineering, or economics • Minimum 8-10 years related analytics/data science experience • 2+ years experience in a data scientist role doing machine learning, predictive models, artificial intelligence, deep learning, preferably with some of that at a B2B company • Experience with data warehousing and data Integration  tools • Experience with Teradata, Hadoop, Hive, Spark, SAP HANA • Advanced or expert level in SQL, R, Python • Experience with visualization tools, e.g. Tableau or Qlik • Strong communication skills • Ability to draw conclusions from data and recommend actions",4750.0,6666.666666666667
